2 draft-bocci-martini-pwe3-psn-congestion-bit-00.txt  alcatel-lucent alcatel-lucent cisco
2 draft-ietf-isis-rfc2763bis-00.txt  arbor cisco
1 draft-gray-rbridge-scaling-00.txt  ericsson
1 draft-xu-yang-retargeting-security-00.txt  sonusnet
1 draft-linsner-geopriv-relativeloc-00.txt  cisco cisco
1 draft-zhao-netlmm-ra-consideration-00.txt  huawei
1 draft-ietf-atompub-typeparam-00.txt  ibm
1 draft-heer-hip-middle-auth-00.txt  rwth-aachen
2 draft-asveren-dime-state-recovery-00.txt  ulticom operax
2 draft-bryan-p2psip-dsip-00.txt  sipeerior sipeerior cisco
1 draft-mirtorabi-l3vpn-igp-transparency-00.txt  cisco cisco cisco
1 draft-babiarz-pcn-explicit-marking-00.txt  nortel nortel nortel
1 draft-templin-inetmtu-lite-00.txt  boeing
1 draft-lear-ietf-syslog-uri-00.txt  cisco
3 draft-ohba-hokey-3party-keydist-ps-00.txt  UNKNOWN toshiba huawei
1 draft-zangrilli-p2psip-dsip-dhtbamboo-00.txt  sipeerior sipeerior
2 draft-wan-netlmm-pmip-bootstrapping-00.txt  ustc huawei huawei huawei
1 draft-worley-ex-uri-00.txt  pingtel
2 draft-ietf-radext-extended-attributes-00.txt  bridgewatersystems bridgewatersystems comcast
1 draft-sharhalakis-httptz-00.txt  teithe
3 draft-ietf-softwire-mesh-framework-00.txt  tsinghua tsinghua tsinghua cisco cisco cisco cisco juniper
2 draft-ietf-dime-qos-parameters-00.txt  teliasonera nsn
3 draft-jounay-pwe3-dynamic-pw-update-00.txt  orange-ft orange-ft rad ciena
1 draft-ietf-dccp-dtls-00.txt  sonusnet
1 draft-riikonen-silc-multimedia-session-00.txt  UNKNOWN
2 draft-iijima-ngo-vlandatamodel-00.txt  hitachi hitachi hitachi alaxala alaxala
2 draft-nystrom-keyprov-ct-kip-two-pass-00.txt  rsasecurity rsasecurity diversinet
1 draft-thompson-esds-schema-00.txt  afilias
4 draft-fajardo-dime-dcc-test-suite-00.txt  openet-telecom nsn toshiba int-evry
1 draft-davie-tsvwg-rsvp-l3vpn-00.txt  cisco cisco cisco
1 draft-denis-behave-nat-dccp-00.txt  videolan
3 draft-ietf-tcpm-tcp-auth-opt-00.txt  isi psg juniper
2 draft-morton-perf-metrics-framework-00.txt  att UNKNOWN
1 draft-lhotka-relaxng-to-rfc-00.txt  cesnet
3 draft-templin-rfc4214bis-00.txt  boeing cisco microsoft microsoft
2 draft-ietf-sip-eku-00.txt  bluesocket alcatel-lucent
1 draft-badra-tls-password-00.txt  isima
2 draft-ietf-ancp-mib-an-00.txt   ecitele
1 draft-zangrilli-p2psip-whysip-00.txt  sipeerior sipeerior
1 draft-mahy-http-change-notification-via-sip-00.txt  ekabal
1 draft-dawkins-nomcom-start-earlier-00.txt  huawei
1 draft-carpenter-idloc-map-cons-00.txt  ibm
2 draft-hautakorpi-p2psip-with-hip-00.txt  ericsson hiit
1 draft-roy-presencerss-00.txt  hsc
1 draft-xiao-evaluate-dml-00.txt  ccnu ccnu
1 draft-briscoe-tsvwg-byte-pkt-mark-00.txt  bt
3 draft-li-mipshop-mip6rrp-ecc-00.txt  huawei UNKNOWN huawei
3 draft-nir-tls-eap-00.txt  checkpoint checkpoint nsn auckland
2 draft-krishnan-dna-simple-00.txt  ericsson netstarnetworks
2 draft-natarajan-tsvwg-sctp-nrsack-00.txt  udel udel udel cisco
1 draft-mnapierala-mvpn-part-reqt-00.txt  att
1 draft-korhonen-mip4-service-00.txt  teliasonera teliasonera
2 draft-tschofenig-geopriv-http-using-protocol-00.txt  nsn columbia
1 draft-winterbottom-ecrit-specifying-holes-00.txt  andrew andrew
1 draft-ietf-sip-record-route-fix-00.txt  alcatel-lucent alcatel-lucent
1 draft-dondeti-ipsec-failover-sol-00.txt  qualcomm qualcomm
2 draft-halpern-forces-lfblibrary-vpn-00.txt  UNKNOWN huawei huawei
2 draft-wakikawa-mip6-no-ndp-00.txt  keio wide
1 draft-kobayashi-ipfix-multicast-measure-00.txt  ntt ntt
